ST15-FR_,ST15,FR,,,FALSE,10000,61,1878,225420,21184
ST06-AG_,ST06,AG,,,FALSE,3661,17,577,65808,15273
ST05-SH_,ST05,SH,,,FALSE,1804,25,357,42625,20930
ST07-BS_,ST07,BS,,,FALSE,5793,17,1005,120646,13873
ST13-TI_,ST13,TI,,GR,FALSE,23317,881,10166,1217537,58565
ST01-BL_,ST01,BL,,,FALSE,3008,92,1107,132842,33118
ST09-FR_,ST09,FR,,,FALSE,6894,27,1079,128054,20311
ST13-AR_,ST13,AR,,,FALSE,9206,560,5733,687986,17245
ST08-ZG_,ST08,ZG,,,FALSE,2733,0,380,45637,5234
ST10-SO_,ST10,SO,,,FALSE,11286,44,1954,234549,21244
ST15-NE_,ST15,NE,,,FALSE,19534,305,4994,597066,40772
ST14-ZG_,ST14,ZG,,,FALSE,4713,6,772,92618,6817
ST07-SZ_,ST07,SZ,,,FALSE,15766,424,5625,675065,25331
ST04-BS_,ST04,BS,,,FALSE,2803,11,522,62648,4975
ST04-AR_,ST04,AR,,,FALSE,8149,175,2344,276259,21559
ST14-OW_,ST14,OW,,,FALSE,24359,1551,15697,1882757,35653
ST11-TI_,ST11,TI,,GR,FALSE,25168,876,10321,1234691,63402
ST01-UR_,ST01,UR,,SZ-LU,FALSE,79591,1240,20512,2438952,166940
ST12-TI_,ST12,TI,,GR,FALSE,56554,1704,21054,2520015,114242
ST04-SG_,ST04,SG,,,FALSE,1062,11,200,24019,11226
ST11-BL_,ST11,BL,,SO,FALSE,17392,364,5096,608244,55345
ST01-VS_,ST01,VS,,,FALSE,15556,1130,11418,1370123,19676
ST03-ZH_,ST03,ZH,,,FALSE,5322,12,903,108363,14062
ST01-TI_,ST01,TI,,GR,FALSE,62922,1715,21835,2613271,115899
ST04-VD_,ST04,VD,,,FALSE,4218,8,658,78971,6052
ST05-AR_,ST05,AR,,,FALSE,10955,425,4925,591059,19368
ST05-JU_,ST05,JU,,,FALSE,13632,377,4483,523720,53705
ST11-NW_,ST11,NW,,LU,FALSE,11696,129,2464,293348,23817
ST04-VS_,ST04,VS,,,FALSE,16536,1142,11628,1395319,21808
ST13-GE_,ST13,GE,,,FALSE,6485,18,1001,120094,9998
ST08-AI_,ST08,AI,,,FALSE,8104,62,1452,173690,14500
ST03-NW_,ST03,NW,,,FALSE,3719,7,606,72768,11065
ST06-SH_,ST06,SH,,,FALSE,4025,40,666,78510,11804
ST05-BE_,ST05,BE,,VS,FALSE,11735,671,6775,811231,23353
ST14-SG_,ST14,SG,,AR,FALSE,6885,61,1352,159684,12529
ST09-VD_,ST09,VD,,,FALSE,12086,356,4424,527960,21310
ST03-OW_,ST03,OW,,,FALSE,51874,2052,22934,2730508,97684
ST09-SG_,ST09,SG,,,FALSE,2810,56,814,97083,5185
ST04-LU_,ST04,LU,,,FALSE,5852,23,1006,120752,10607
ST07-LU_,ST07,LU,,AG,FALSE,11597,152,2709,317459,25376
ST03-TG_,ST03,TG,,,FALSE,3297,13,552,66190,7230
ST03-GE_,ST03,GE,,,FALSE,2386,1,294,35304,6539
ST02-UR_,ST02,UR,,SZ-LU,FALSE,70038,813,16279,1944771,111012
ST01-BE_,ST01,BE,,VS,FALSE,18621,1071,10969,1314503,37297
ST11-AG_,ST11,AG,,,FALSE,6719,37,1177,137803,13197
ST09-GE_,ST09,GE,,,FALSE,5333,18,888,106522,7323
ST01-NW_,ST01,NW,,,FALSE,1935,17,391,46877,20949
ST12-AI_,ST12,AI,,,FALSE,25141,529,7845,941468,34217
ST11-UR_,ST11,UR,,,FALSE,24400,453,6982,832937,48889
ST02-GR_,ST02,GR,,,FALSE,2206,28,506,60716,3620
ST04-SH_,ST04,SH,,ZH,FALSE,2188,20,415,49040,7128
ST10-GE_,ST10,GE,,,FALSE,7427,4,1215,145809,10081
ST13-VS_,ST13,VS,,,FALSE,25853,1223,13729,1647498,34805
ST02-BS_,ST02,BS,,,FALSE,2263,15,439,52679,5014
