AI-UR_,AI,UR,,SZ-ZH-AR-LU-ZG,FALSE,155340,1618,33547,3994766,255461
OW-FR_,OW,FR,,LU,FALSE,145161,1031,26531,3116880,277937
TG-NW_,TG,NW,,ZH-LU-ZG,FALSE,128539,944,25443,3046629,178093
ZH-GR_,ZH,GR,,GL,FALSE,142508,1516,30685,3661073,233572
AI-SO_,AI,SO,,TG-AG-ZH-AR,FALSE,181250,936,32671,3916085,240843
AR-NW_,AR,NW,,TG-ZH-LU-ZG,FALSE,159295,1053,30030,3584696,233356
GE-LU_,GE,LU,,FR-SO-VD,FALSE,224160,1262,42546,5102576,284100
SG-BS_,SG,BS,,TG-AG-ZH,FALSE,160001,524,27163,3253912,207999
VS-ZG_,VS,ZG,,OW-LU,FALSE,140107,1816,30591,3534909,361792
FR-GE_,FR,GE,,VD,FALSE,146959,708,26760,3205020,195398
BE-UR_,BE,UR,,OW,FALSE,100156,1373,22004,2543274,275459
TG-SG_,TG,SG,,,FALSE,47570,496,10773,1292886,56573
GE-VS_,GE,VS,,VD,FALSE,260011,2647,60894,7306601,314202
SH-ZH_,SH,ZH,,,FALSE,42558,276,8345,1000142,64585
NW-VD_,NW,VD,,FR-SO-LU,FALSE,217312,1664,44496,5323272,273757
NW-FR_,NW,FR,,LU,FALSE,113172,917,22753,2723034,164522
LU-UR_,LU,UR,,,FALSE,55046,688,13068,1559472,91519
ZH-UR_,ZH,UR,,LU-ZG,FALSE,98857,983,21896,2617938,154291
JU-AR_,JU,AR,,TG-AG-ZH-SO-SH,FALSE,234116,1890,48817,5843758,312862
NW-TI_,NW,TI,,SZ-UR-GR-LU,FALSE,156925,3788,49056,5814208,347776
LU-OW_,LU,OW,,,FALSE,66680,1808,23522,2818139,94764
AG-EN_,AG,EN,,SO,FALSE,88958,562,17417,2087072,125038
TI-EN_,TI,EN,,UR-GR,FALSE,201127,3267,49248,5770710,495900
SG-FR_,SG,FR,,TG-AG-ZH-SO,FALSE,212494,1031,38630,4629985,280735
OW-NW_,OW,NW,,,FALSE,33831,140,4165,443496,118857
BL-VD_,BL,VD,,SO-NE,FALSE,171360,1377,36237,4335469,250282
GR-SO_,GR,SO,,SZ-ZH-GL-LU-ZG,FALSE,229730,1827,45357,5402048,351277
BE-EN_,BE,EN,,,FALSE,124053,756,21206,2471068,273484
ZH-BS_,ZH,BS,,AG,FALSE,93100,418,16733,2003192,125990
FR-VD_,FR,VD,,,FALSE,103724,1069,23210,2778532,141343
SO-GL_,SO,GL,,SZ-ZH-LU-ZG,FALSE,170997,1384,35309,4230820,224043
AG-VD_,AG,VD,,SO-NE,FALSE,187749,1411,39034,4675385,239477
SH-NW_,SH,NW,,ZH-LU-ZG,FALSE,111930,825,22184,2656175,155932
SZ-ZG_,SZ,ZG,,ZH,FALSE,34591,63,4794,571903,52814
SZ-UR_,SZ,UR,,ZH-LU-ZG,FALSE,91261,723,18245,2178734,143553
NW-EN_,NW,EN,,LU,FALSE,102081,864,20739,2481336,150330
GL-BS_,GL,BS,,AG-SZ-ZH,FALSE,169560,499,28442,3397473,236478
LU-SZ_,LU,SZ,,ZH-ZG,FALSE,69347,684,15291,1834770,88431
GR-OW_,GR,OW,,SZ-ZH-GL-LU-ZG,FALSE,214228,3111,53489,6380689,340330
SG-LU_,SG,LU,,TG-AG-ZH,FALSE,139840,913,26642,3190113,188661
FR-UR_,FR,UR,,LU,FALSE,134647,1246,28390,3396189,202062
GL-TI_,GL,TI,,GR,FALSE,175845,2688,43783,5229427,315657
LU-TI_,LU,TI,,SZ-UR-GR-ZG,FALSE,164268,3763,49891,5915782,351700
TG-BE_,TG,BE,,ZH-OW-LU-ZG,FALSE,205810,3707,57501,6859980,316015
FR-JU_,FR,JU,,,FALSE,96727,1174,21946,2605871,170667
LU-EN_,LU,EN,,,FALSE,71348,505,13887,1666575,106240
GE-SO_,GE,SO,,FR-VD,FALSE,183072,920,34177,4099666,231402
NE-ZH_,NE,ZH,,AG-SO,FALSE,197031,851,35248,4199668,295439
NE-UR_,NE,UR,,SO-LU,FALSE,199247,1613,40539,4826530,319965
VS-FR_,VS,FR,,,FALSE,158751,1581,32057,3730480,361934
SO-AG_,SO,AG,,,FALSE,55128,391,10929,1302689,85828
SO-AR_,SO,AR,,TG-AG-ZH,FALSE,180271,1410,37005,4427056,237595
BE-ZH_,BE,ZH,,OW-LU-ZG,FALSE,157924,1269,29532,3450736,345277
NW-SG_,NW,SG,,TG-ZH-LU-ZG,FALSE,147440,1075,29711,3557769,191781
